# These are my subs. Feel free to check all these channels out, they're awesome.
Channel Id,Channel Url,Channel Title
UCklU4t3A7dMKJxwJSGRTzjg,http://www.youtube.com/channel/UCklU4t3A7dMKJxwJSGRTzjg,Dayo
UCkqxO_WPoeC-SOHAL95Twww,http://www.youtube.com/channel/UCkqxO_WPoeC-SOHAL95Twww,Jeff Randall
UCkrLLexSe3EM-Y7ku9UsM9g,http://www.youtube.com/channel/UCkrLLexSe3EM-Y7ku9UsM9g,Kemit
UCl2mFZoRqjw_ELax4Yisf6w,http://www.youtube.com/channel/UCl2mFZoRqjw_ELax4Yisf6w,Louis Rossmann
UClUVQJQL-yGKYiceiJpNg2Q,http://www.youtube.com/channel/UClUVQJQL-yGKYiceiJpNg2Q,Randy Feltface
UClb90NQQcskPUGDIXsQEz5Q,http://www.youtube.com/channel/UClb90NQQcskPUGDIXsQEz5Q,developedbyed
UCm1uXqSGF1PTn0K0qnjMDlg,http://www.youtube.com/channel/UCm1uXqSGF1PTn0K0qnjMDlg,marta․stl
UCmEzz-dPBVrsy4ZluSsYHDg,http://www.youtube.com/channel/UCmEzz-dPBVrsy4ZluSsYHDg,Hyperplexed
UCmGSJVG3mCRXVOP4yZrU1Dw,http://www.youtube.com/channel/UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris
UCmlzNHg8QiWVutUyFOV2UdQ,http://www.youtube.com/channel/UCmlzNHg8QiWVutUyFOV2UdQ,The Stock Pot
UCmtyQOKKmrMVaKuRXz02jbQ,http://www.youtube.com/channel/UCmtyQOKKmrMVaKuRXz02jbQ,Sebastian Lague
UCnkp4xDOwqqJD7sSM3xdUiQ,http://www.youtube.com/channel/UCnkp4xDOwqqJD7sSM3xdUiQ,Adam Neely
UCoS-YJmHRjrVy6DeyRoQcUg,http://www.youtube.com/channel/UCoS-YJmHRjrVy6DeyRoQcUg,Rufus Mann
UCp-R630BEr1UHsvh6HUh8fQ,http://www.youtube.com/channel/UCp-R630BEr1UHsvh6HUh8fQ,Sleepy Charlie
UCprDa_LLciUHLoxtoJzPsbg,http://www.youtube.com/channel/UCprDa_LLciUHLoxtoJzPsbg,The Weavers of Eternity Paracord
UCq4qiifOaFGW3a2oljSfxUg,http://www.youtube.com/channel/UCq4qiifOaFGW3a2oljSfxUg,Half-Asleep Chris
UCqOecsBLULnuUtls0tISTCw,http://www.youtube.com/channel/UCqOecsBLULnuUtls0tISTCw,Timestorm Films
UCqW61mnL1n6gZiudw9_wdCQ,http://www.youtube.com/channel/UCqW61mnL1n6gZiudw9_wdCQ,Tyler Visser
UCqZgilaCgI6P0BD7tPrDXhg,http://www.youtube.com/channel/UCqZgilaCgI6P0BD7tPrDXhg,zacoons
UCr3cBLTYmIK9kY0F_OdFWFQ,http://www.youtube.com/channel/UCr3cBLTYmIK9kY0F_OdFWFQ,Casually Explained
UCrsLPlwxUInDoNubOP85EWQ,http://www.youtube.com/channel/UCrsLPlwxUInDoNubOP85EWQ,Coderized
UCsBjURrPoezykLs9EqgamOA,http://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Fireship
UCsF-SfQ6_7UZZgNrO-E6qxA,http://www.youtube.com/channel/UCsF-SfQ6_7UZZgNrO-E6qxA,Studio No Ha
UCsQ9n37qjeBZEWqN8bdKbMQ,http://www.youtube.com/channel/UCsQ9n37qjeBZEWqN8bdKbMQ,Matt Rose
UCsT0YIqwnpJCM-mx7-gSA4Q,http://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks
UCsX5upzW0Tk2riDY1WB887w,http://www.youtube.com/channel/UCsX5upzW0Tk2riDY1WB887w,Hannah Fry
UCshObcm-nLhbu8MY50EZ5Ng,http://www.youtube.com/channel/UCshObcm-nLhbu8MY50EZ5Ng,Benn Jordan
UCsjFo9OT7nhNpToUUAkTtCw,http://www.youtube.com/channel/UCsjFo9OT7nhNpToUUAkTtCw,TWENTYBYEIGHT
UCskD50ri3723Tk1SkS-qAIA,http://www.youtube.com/channel/UCskD50ri3723Tk1SkS-qAIA,El Estepario Siberiano
UCsooa4yRKGN_zEE8iknghZA,http://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA,TED-Ed
UCsuEe60WKTcCLj3xZ_9G5sQ,http://www.youtube.com/channel/UCsuEe60WKTcCLj3xZ_9G5sQ,Nathan Wesley Art
UCsuKgiVb2KJ2sZdrrwoAqsA,http://www.youtube.com/channel/UCsuKgiVb2KJ2sZdrrwoAqsA,wattles
